,flowTime,frequency
0,0.0,0.0
1,0.5,0.27468497639761247
2,1.0,0.14766121796122186
3,1.5,0.10845394608512464
4,2.0,0.09398041587016737
5,2.5,0.0745133226699957
6,3.0,0.0576600475948972
7,3.5,0.043420590644871845
8,4.0,0.033121366987867204
9,4.5,0.025943120196621542
10,5.0,0.022471033433464675
11,5.5,0.020325361838255375
12,6.0,0.02094955721140717
13,6.5,0.01579994538290485
14,7.0,0.012991066203721764
15,7.5,0.010065150392072718
16,8.0,0.007958491007685406
17,8.5,0.005773807201654118
18,9.0,0.004408379822884563
19,9.5,0.004174306557952639
20,10.0,0.0028478913900050716
21,10.5,0.002496781492607186
22,11.0,0.0015995006437014786
23,11.5,0.0011313541138376312
24,12.0,0.0008582686380837202
25,12.5,0.0005851831623298092
26,13.0,0.001092341903015644
27,13.5,0.000546170951507822
28,14.0,0.0006632075839737838
29,14.5,0.0005071587406858347
30,15.0,0.0006632075839737838
31,15.5,0.00023407326493192368
32,16.0,0.00015604884328794912
33,16.5,0.00046814652986384736
34,17.0,0.00035110989739788555
35,17.5,0.00011703663246596184
36,18.0,0.00011703663246596184
37,18.5,7.802442164397456e-05
38,19.0,3.901221082198728e-05
39,19.5,0.0
40,20.0,0.0
41,20.5,3.901221082198728e-05
42,21.0,3.901221082198728e-05
43,21.5,0.00011703663246596184
44,22.0,0.00015604884328794912
45,22.5,0.0
46,23.0,0.00011703663246596184
47,23.5,0.00011703663246596184
48,24.0,0.0
49,24.5,0.00011703663246596184
50,25.0,7.802442164397456e-05
51,25.5,0.00011703663246596184
52,26.0,3.901221082198728e-05
53,26.5,0.0
54,27.0,3.901221082198728e-05
55,27.5,0.0
56,28.0,7.802442164397456e-05
57,28.5,0.0
58,29.0,3.901221082198728e-05
59,29.5,0.0
