id,fit,a,b,cdf_r2_score,pdf_r2_score
1,cdf,6.484491146685258,3.531525514735893,0.9990175021296489,0.9738967326043106
2,cdf,5.990374486131372,3.7057154789689166,0.9973545105141235,0.9246143901038777
4,cdf,7.317186116318927,4.094345785963681,0.9979708189418961,0.9336729247892622
5,cdf,6.985432501605502,4.304976692873698,0.9956832954944085,0.9318597247776992
7,cdf,5.372105794402152,3.2996103700657917,0.9967619677714696,0.9352033658279406
8,cdf,6.417069953285195,3.9123402274467556,0.9966973057881711,0.9135386234591535
9,cdf,1.445057415303533,0.9564021038812853,0.9890335250073637,0.8526645779294805
10,cdf,7.333775693428948,4.030187518442279,0.9980239404805953,0.9490596466838905
11,cdf,3.9882906614285707,2.700883360984193,0.9901351049475049,0.8882929295499588
12,cdf,7.518368515584343,4.826936286594393,0.994239487164126,0.9236557232399376
13,cdf,5.691054236074542,3.790085382112284,0.9942702123831969,0.9009803479894002
14,cdf,7.0538666055827965,4.959686502058391,0.9895664317531178,0.8324325097335188
15,cdf,9.028120456641423,6.309966073174475,0.9923632711862117,0.8467820198785978
16,cdf,4.381586223983185,2.193588635227442,0.998691193192606,0.9132273272448508
17,cdf,2.7813997379053834,1.847926667212904,0.9936487971154219,0.9102542675823801
19,cdf,5.866053387283186,3.7283147382073065,0.9944688633981676,0.9181886987640276
21,cdf,5.685112239194448,3.6064797723934876,0.9903959483429029,0.9081612487012116
23,cdf,5.24775588570062,3.2321714994653554,0.9961182304797118,0.9528644689584366
25,cdf,5.422591906462114,2.961669265971127,0.996687328895805,0.9718588197155336
26,cdf,5.241199767317501,3.7919297915641157,0.9891644213234227,0.8829368638277417
27,cdf,6.004832764101858,3.9707639641872348,0.9938588967880768,0.8998342464096285
28,cdf,4.360297155366804,2.9309772396457765,0.9922679861720924,0.8716684948535381
30,cdf,6.77580414897949,3.8731889777133506,0.9981175274089794,0.9518689929723763
31,cdf,3.98828056006124,2.2467169179633286,0.9975737832554237,0.9691778090972856
32,cdf,6.021919036861748,4.542317459204009,0.9903925672854659,0.8442589609691807
33,cdf,9.332569584632404,4.589465963741091,0.9983956873522114,0.9847486039798047
34,cdf,8.371380799607122,4.464863214921381,0.9947698081260383,0.9381042201183347
35,cdf,3.1273403216719085,1.864212966296244,0.9916793140383171,0.8755978167889849
36,cdf,7.549222930405028,5.066554581040485,0.9915948922655085,0.876305501441336
38,cdf,6.540952570563501,3.9678358152963504,0.9953766985862345,0.939507748003551
39,cdf,5.113835118558196,2.838566545099728,0.997914906401743,0.9715781841582044
41,cdf,4.197606294871615,2.241368916045985,0.9946393089355287,0.9484563261408758
42,cdf,1.3294393020403001,0.9986635413231926,0.9894289406786766,0.8713502138325913
43,cdf,5.640500329757768,6.858035842845224,0.9738630863042002,0.596963010607591
44,cdf,3.774673209790784,4.2474735316292485,0.9741374427599973,0.6289131592054107
45,cdf,5.089390614951868,3.338424309600691,0.9949888312929611,0.9188313221420064
46,cdf,5.047412463291515,3.417824733352386,0.9936804944810183,0.9427146596947854
48,cdf,4.507533119131794,3.3809180689654244,0.9867359517844335,0.8368252707787496
49,cdf,4.902414607608626,2.8481526872433007,0.99540608517189,0.9230363291190185
50,cdf,2.703234028977423,1.9007592628955308,0.9964222620055796,0.8940675667283864
56,cdf,5.556511090091597,3.4872186700762087,0.9924061808243838,0.9332110109660956
