id,fit,a,b,cdf_r2_score,pdf_r2_score
1,cdf,32.50000000614494,2.12578775082186e-09,0.7098964920305744,0.512546930105823
2,cdf,39.50000000000656,8.821040030693837e-13,0.38220193284959025,0.4648100837144181
4,cdf,36.50000000359568,1.4309153869154561e-09,0.7163417264160339,0.5110790784434455
5,cdf,41.50000000004767,9.458722256527796e-12,0.546107313312117,0.4986136703074058
7,cdf,30.50000000088779,1.4493270832214076e-10,0.5964226334313352,0.5254499373052839
8,cdf,38.500000000052296,9.548954914570266e-12,0.5245041379742984,0.4838920991549759
9,cdf,6.500000000379776,3.0145369385116736e-11,0.868057056847376,0.6468254314695003
10,cdf,38.50000000094649,3.027567684605443e-10,0.6720825632996776,0.4820269513838329
11,cdf,32.500000000005684,3.07689311496858e-13,0.09698080949317789,0.3957371683048886
12,cdf,50.50000000000177,2.776670296040205e-13,0.3855208854140296,0.46265823470238265
13,cdf,36.50000000003414,4.3021517793456705e-12,0.44880731272605234,0.49900902950695003
14,cdf,44.50000000001825,2.780186817271719e-12,0.4881563343507255,0.48906204902225026
15,cdf,57.50000000000201,3.963818421421043e-13,0.45778176216098865,0.4936140485423034
16,cdf,23.50000000890695,1.5103141009593847e-09,0.6274707599290396,0.42286369295339266
17,cdf,18.50000001205914,4.888894210897967e-10,0.4425097272616523,0.484292836506916
19,cdf,38.50000000001605,2.0665590023351404e-12,0.420843227226389,0.4671091319087939
21,cdf,38.50000000001642,1.8696726946178694e-12,0.40045558357294253,0.4388721831177482
23,cdf,30.500000000848615,1.2020654025797885e-10,0.5817877180849841,0.5186029479977027
25,cdf,34.50000000005269,7.243121040918199e-12,0.46318015771359644,0.4192679431490094
26,cdf,41.500000000001144,8.592873590963127e-14,0.13461127033467435,0.4306755997837397
27,cdf,38.50000000002589,3.5101379128726895e-12,0.45349212595737176,0.49130427180590197
28,cdf,22.500000000000004,6.852491514029165e-16,0.7252484228157814,0.5895196629896893
30,cdf,32.50000000000001,5.654603606844231e-16,0.7610601795643466,0.5468966650961473
31,cdf,21.500000031529826,4.369898774989598e-09,0.6610613856292216,0.5032223708004708
32,cdf,41.50000000000822,8.471379107300911e-13,0.3589787800507882,0.49564267512663895
33,cdf,55.50000000000376,1.2635045882491928e-12,0.5223783207436475,0.39292004387537094
34,cdf,49.50000000001619,4.667916580799704e-12,0.554586846565286,0.41032815647501386
35,cdf,21.500000001555197,8.265585864882029e-11,0.3932330091885853,0.39231799826613445
36,cdf,51.500000000001236,1.91215914367425e-13,0.36610775709020293,0.4546951297062647
38,cdf,47.500000000000504,6.417775147256945e-14,0.25858860744794876,0.41339451912133907
39,cdf,28.500000001949317,3.4843783641800435e-10,0.6162055962556958,0.48161113721132465
41,cdf,25.5000000015419,1.738415979255249e-10,0.538992146070586,0.40794728447608275
42,cdf,9.50000000000001,1.4878944438240149e-16,0.40991457071210724,0.5242409293456569
43,cdf,63.50000000000001,2.484905584163642e-16,-0.7305964380843579,0.31371545896271724
44,cdf,35.5000000000026,9.090146771373514e-14,-0.22264660591256158,0.38836894156521184
45,cdf,28.50000000410728,5.254899751168889e-10,0.6339793851671096,0.5580505361327028
46,cdf,39.5000000000014,1.0559817740404821e-13,0.14316643593756617,0.4376945811450933
48,cdf,35.50000000000676,3.966683912176385e-13,0.15912223202129183,0.4244783970896905
49,cdf,31.50000000012164,1.3242771057022653e-11,0.4543684029504991,0.4279867332746303
50,cdf,14.500000000000133,9.507534286647899e-15,0.688118374530952,0.6486504178764938
56,cdf,36.500000000037026,4.326633898516088e-12,0.43807878682648327,0.4602226707714948
60,cdf,14.500000005203175,1.9977712500354494e-09,0.8942180199020034,0.6803474832070406
63,cdf,36.50000000000021,4.260638954375154e-15,-1.1801368478833902,0.1602260674436944
64,cdf,14.500000026546434,5.816939112905835e-10,0.2772959226609637,0.47328752880534986
66,cdf,38.50000000007761,1.552712155229483e-11,0.5522580172277596,0.4492833930144834
69,cdf,73.50000000000001,2.848871621501038e-16,-0.2845484137043832,0.359561653828946
71,cdf,48.500000000000306,4.193591485717534e-14,0.24429235205382627,0.36394316720807407
72,cdf,45.50000000000019,1.705443732070532e-14,0.07826926378226617,0.382032472515198
74,cdf,23.500000000000004,3.795140831273284e-16,0.7015703552336512,0.4451156315625946
75,cdf,31.50000000004833,5.083047276418381e-12,0.3994324738641486,0.4024128501025259
77,cdf,24.500000000450765,3.591411817130703e-11,0.4166542814646085,0.3865456665570669
78,cdf,45.50000000000032,3.4847570155652095e-14,0.17983180692491796,0.3778761598183783
79,cdf,26.500000000745736,1.1848615857361133e-10,0.5271236512011277,0.30433343285478265
81,cdf,34.500000000018105,1.3028278504681717e-12,0.28702713266779256,0.44913199545227445
82,cdf,27.500000001690378,3.1613402899912323e-10,0.5908210150959233,0.3669693440969234
85,cdf,42.50000000001638,3.231967618007783e-12,0.49364596001023375,0.4271885323592126
86,cdf,50.500000000008015,2.3023859522425225e-12,0.5167250828917926,0.3106827939914144
88,cdf,35.50000000003592,5.441011200677976e-12,0.4563596474802547,0.32656135004419407
90,cdf,37.50000000022255,3.9149819328645986e-11,0.5768478572003917,0.3880598432192306
91,cdf,43.50000000134805,2.997405901500154e-10,0.6869514738373277,0.43966691158827553
93,cdf,44.50000000000013,2.824568789215294e-13,0.8527628772460794,0.5993321570303143
94,cdf,52.50000000002085,3.031674970663473e-09,0.9470651476630237,0.671270380493441
95,cdf,48.50000000000009,1.0072661857682641e-14,0.10228218894491614,0.3059253188559484
96,cdf,53.500000000000064,7.0352650708636415e-15,0.09396379641720809,0.36424094361371584
97,cdf,55.50000000000668,1.4545363064083914e-12,0.5165984273188101,0.4857165236004868
98,cdf,23.500000000640053,2.993092526696676e-11,0.3312986885450302,0.49399661503336956
100,cdf,32.500000001557154,2.746024487121102e-10,0.6385310509951556,0.5268603233325723
102,cdf,43.500000000002586,2.3015639032732013e-13,0.2508732436345319,0.5063057075187456
104,cdf,40.50000000000245,2.2392602376074204e-13,0.24809386367485708,0.4174415479234467
105,cdf,41.50000000000132,1.3152604864596763e-13,0.22967906593860654,0.4036736997674184
106,cdf,19.500000000961034,2.2955392385837485e-11,0.08129393217867176,0.4673890143378061
107,cdf,44.50000000001123,1.4364212264351793e-12,0.43508984917816296,0.5359122372638032
108,cdf,32.50000000001714,1.3831484714695109e-12,0.2966404580197646,0.40038209033034156
109,cdf,24.500000000381778,2.0351666022243564e-11,0.3407917221987181,0.4448275865548743
110,cdf,49.500000000000476,5.1973166343679335e-14,0.22137824831751496,0.44670147886866773
112,cdf,27.500000000007752,2.489003696057372e-13,-0.13525037699371123,0.3389678237151751
113,cdf,22.50000000000017,3.165288560930736e-13,0.7654484215627788,0.3639588105464133
114,cdf,40.500000000000654,4.781189186481707e-14,0.08410249476980769,0.39652723285386293
116,cdf,52.50000000000005,6.237951283399609e-15,0.11538798139542805,0.3287491510057906
117,cdf,58.50000000000005,6.512587283899488e-15,0.16222905151504363,0.41002760654735393
118,cdf,26.50000000013821,9.19128924374041e-12,0.3330494168755609,0.4019341571528299
119,cdf,42.500000000000426,3.9696202540613913e-14,0.14092113184557853,0.3049543618865801
