id,fit,a,b,c,cdf_r2_score,pdf_r2_score
1,cdf,-3.07503946646518e-16,-0.0020350766364699616,0.09335034539824154,0.9577258166596353,0.5056892942132578
2,cdf,-7.94248412451047e-14,-0.0016339918918402022,0.08522851932254516,0.898748893271195,0.5126177004925903
4,cdf,-3.322026197343698e-13,-0.0016034912749707984,0.0827971796950683,0.9606919271023667,0.5130822301470666
5,cdf,-4.7833344893006815e-17,-0.001378959193626322,0.07757134290295593,0.9360336285598858,0.5345272116312575
7,cdf,-1.3337262233097389e-16,-0.0024946085755151583,0.10415682175349335,0.9477556417957919,0.5345377772773499
8,cdf,-6.621288018708647e-20,-0.001625199858927624,0.08439948723337785,0.9323402953521327,0.5170203357182774
9,cdf,-1.0685683285890569e-10,-0.04218047910466999,0.4194714927010799,0.9852515610841174,0.235018177401062
10,cdf,-1.153952148689073e-14,-0.0014901928388602707,0.08001147474746385,0.9508304913509229,0.4916530907609461
11,cdf,-1.5133322841373295e-14,-0.0025540628228580583,0.10736100494843377,0.8092219332706069,0.4470408645944911
12,cdf,-1.8262468121627862e-14,-0.0009822480766174615,0.06585450752419547,0.8967110687392397,0.5241240460282048
13,cdf,-7.402461220679109e-15,-0.0018515403443333535,0.09032409596565158,0.9188806406311512,0.5403086593882035
14,cdf,-1.8071049841245888e-16,-0.0012112930721687512,0.07273568857909925,0.9264344149071984,0.5385063297059343
15,cdf,-5.928494770328149e-14,-0.0007360886618499581,0.05679170088287947,0.9222993350234442,0.5595416361335741
16,cdf,-1.149146241872266e-15,-0.004155839742903749,0.1344174921564513,0.9357470454288424,0.3995173770583986
17,cdf,-2.7991166250868047e-13,-0.0071606869367530045,0.17754354964937402,0.9026179723425171,0.4574788453809089
19,cdf,-3.944789534808022e-14,-0.0016843386342872808,0.08625268824485091,0.9065891548510012,0.5096809404424352
21,cdf,-1.4378203270500038e-14,-0.001683665928131318,0.08618365248392157,0.8946680708210089,0.4801068671656319
23,cdf,-1.3209130427221261e-17,-0.0025016757910187952,0.10425897684994785,0.9419079937098077,0.5280412030555797
25,cdf,-1.4782340627873828e-16,-0.002083777609921569,0.09587808489943027,0.9043915822774364,0.44285603245260385
26,cdf,-6.708099383393189e-15,-0.0015367044462784572,0.08297088834936679,0.8234223971218447,0.49831269460071903
27,cdf,-1.4725796405212763e-13,-0.0016574595939556967,0.08540418938540281,0.9189585656579209,0.5353775628397051
28,cdf,-1.1864890035248302e-14,-0.004151855156402899,0.13298953755679802,0.9730752609232041,0.5484297496121342
30,cdf,-2.055491687324642e-13,-0.0019305742250087378,0.09044175766401655,0.968048487807972,0.5325585536733053
31,cdf,-3.1414992427621756e-18,-0.0048354800623835355,0.14451229749655728,0.9514412081984712,0.463741141774362
32,cdf,-5.157787379334541e-13,-0.00144605359477046,0.07984665188095975,0.8968382372529125,0.5570167565275935
33,cdf,-2.9581342162726565e-14,-0.0007912744196772976,0.05894855926616978,0.9137555671977352,0.4297677910541623
34,cdf,-5.771477614638276e-20,-0.0009714015824687724,0.06511171370208745,0.9250371797957583,0.4427698628812231
35,cdf,-2.2767752829345665e-17,-0.0054748548146697365,0.15596809421789667,0.8865677158575872,0.38779900027828784
36,cdf,-4.697702684653023e-14,-0.0009508522256080919,0.0648451680045253,0.8940681442556608,0.5176060670670777
38,cdf,-6.221619619352559e-18,-0.001166913729382234,0.07228470120679059,0.8584451352639175,0.4737024150711835
39,cdf,-1.5956355019749362e-18,-0.0028368453106330667,0.11099856599437029,0.9429825111438809,0.47730507554917845
41,cdf,-1.4069112628471138e-17,-0.0036901794656574805,0.12716107317725028,0.9188973707384906,0.40177889842965564
42,cdf,-1.6583241460084538e-14,-0.027394716504597467,0.34899791062254637,0.8924683171614691,0.38018482703715295
43,cdf,-4.673727010413152e-16,-0.000688580358222181,0.05585402925745803,0.5148824226301144,0.4066275613091149
44,cdf,-6.23667899148968e-13,-0.0021259998684961968,0.09776042107134449,0.7086602694419823,0.46398494938986456
45,cdf,-1.1461869581495141e-18,-0.0027482213825759543,0.10875508350349884,0.9540230388709434,0.5590625552979578
46,cdf,-3.289332162574386e-16,-0.001708394105985082,0.08760457404496919,0.8261866099075332,0.5026900193062523
48,cdf,-2.043453874761408e-19,-0.0020713669556916003,0.09615601859466981,0.827678844303332,0.4819101704174519
49,cdf,-7.980639276925821e-20,-0.0024859276009850904,0.10466301027684233,0.9058965364310327,0.45031522451648787
50,cdf,-1.8674205121780337e-14,-0.01025752979976422,0.20973145361768586,0.9677959685666194,0.536704680820981
56,cdf,-2.5878419779178666e-15,-0.0018487616208273763,0.09019079878024612,0.9056509529399726,0.4976745752886311
60,cdf,-3.7723359111163465e-05,-0.007132210815894779,0.17692613047786185,0.9878062631640263,0.515254841118232
63,cdf,-1.770120668369175e-14,-0.0021643404577393025,0.09968434474740406,0.2760649163017418,0.20439229517444724
64,cdf,-4.58945044185477e-15,-0.012202276203894078,0.23349013765240445,0.8553362479285347,0.43333594269427533
66,cdf,-4.671477403169163e-19,-0.0016058816000431696,0.08377422302862,0.9362544856742878,0.47593681708129953
69,cdf,-2.281205068809467e-19,-0.0005083986559230535,0.04786381916135376,0.6541279974045475,0.45146422105852957
71,cdf,-1.432944356355103e-17,-0.0011321330314647364,0.07131467874072246,0.8423205471709045,0.41691747428077697
72,cdf,-2.4092120544653766e-13,-0.0013187595530919079,0.07723275706243608,0.8010730727920445,0.44789874481506486
74,cdf,-1.4965618381587145e-13,-0.003915005143059063,0.12951606091855158,0.9493216357162584,0.40907602536192056
75,cdf,-6.592240988285334e-13,-0.0025647527345556984,0.10677451758851164,0.8902208195610534,0.42613003700113516
77,cdf,-2.488920022445345e-13,-0.0042351624164843355,0.13727671208203046,0.8861918271221725,0.38801918716475103
78,cdf,-1.3096804962669464e-20,-0.0013008267531800905,0.07656584315290443,0.8310974435629467,0.4356949869295045
79,cdf,-1.0053082301711584e-15,-0.0034840446340766397,0.12393255108651777,0.8953201216992295,0.2976439448345535
81,cdf,-4.494315583500899e-19,-0.002144775335150997,0.09756743888870432,0.8693239322857944,0.4973944745343769
82,cdf,-3.780903088393835e-13,-0.0031092827941452293,0.1164746075506906,0.9214061122465136,0.3579894286993027
85,cdf,-1.0686992342243923e-17,-0.0013545306778801447,0.07716083886427208,0.9140127187717652,0.46137258336452813
86,cdf,-1.4105990149636342e-20,-0.0009527290392351512,0.06461712561599511,0.8989556863309549,0.33510328101825193
88,cdf,-5.005929521220863e-16,-0.001982022772897884,0.0935910529565601,0.8904101674397626,0.3444534901734557
90,cdf,-6.815704897085062e-13,-0.0016516449137184497,0.08458239516399675,0.9266238170727352,0.4031837156450303
91,cdf,-6.987373158009587e-14,-0.0011261576845132553,0.0690714945063785,0.9484842533460669,0.4520321368455378
93,cdf,-8.516488447506755e-16,-0.000906375215641322,0.061269960666425975,0.9802254657028036,0.5881518738238403
94,cdf,-5.294385698999253e-06,-0.00012929678997728944,0.039205730755353586,0.9861194948246248,0.6300066933361212
95,cdf,-2.0269858841051172e-19,-0.001170206872317335,0.07282287875079393,0.784733250764994,0.35690895422702873
96,cdf,-1.587505543360616e-14,-0.0009483868061490839,0.0654200028494063,0.8028776220871813,0.43223649464119773
97,cdf,-3.17466193520122e-14,-0.0007683477190552367,0.05784564215969031,0.9329535047910731,0.5445773971473281
98,cdf,-5.063132705033286e-15,-0.004589704799562932,0.14277947461051269,0.8827878066209968,0.5110066661736019
100,cdf,-4.0838212078006453e-14,-0.002121489619144531,0.09559308029362407,0.9519870781100954,0.535289245978713
102,cdf,-4.7178679012365425e-20,-0.0013421835269783664,0.07713411525269907,0.8757944070242587,0.5852475919644411
104,cdf,-7.696127544319355e-15,-0.0015898073265691597,0.08423438275383119,0.85361305910719,0.4720290478937035
105,cdf,-2.1221600929723038e-14,-0.0015346192093354779,0.08294022878924875,0.8469579754409213,0.45841009056674686
106,cdf,-1.324525481605177e-14,-0.0070161735606997875,0.17789841015756816,0.8099628267292566,0.48586962700368574
107,cdf,-3.483470094471907e-17,-0.0012263959682850332,0.07328753731930812,0.917005118715732,0.5984696751475118
108,cdf,-2.7231851325165973e-13,-0.0024695956851972785,0.10507583904450303,0.8638178759269323,0.43521655062962794
109,cdf,-3.371596872419612e-14,-0.004256820074814955,0.1376194736502199,0.8786593881377662,0.4588271400956617
110,cdf,-1.0644858099918172e-16,-0.0010629434183806186,0.06884969214727087,0.8546632751989699,0.5196711953909965
112,cdf,-4.386770897812848e-14,-0.0037452078730298407,0.13098287554856491,0.7095467716587633,0.3832495660334643
113,cdf,-2.299839942008428e-16,-0.0039886948854958,0.130144015264373,0.939234257465742,0.3157180824703134
114,cdf,-4.114381996643568e-16,-0.0016532497673806628,0.08638354711217473,0.8024737698515179,0.4591099813571906
116,cdf,-8.445685612717926e-16,-0.0009978810406622808,0.06725040385285665,0.7987937292986811,0.3861716269275093
117,cdf,-1.5675547686786232e-16,-0.0007864322278674753,0.05950699073597509,0.8325647732279164,0.485293458747182
118,cdf,-3.6570089823851265e-12,-0.0036799101797354277,0.12818689415866039,0.8714231858287713,0.4203568859303721
119,cdf,-7.674629224320462e-15,-0.0015070376757436404,0.08252009258033106,0.7997811542938879,0.3495605612428164
121,cdf,-7.682743957946655e-16,-0.0011145066845146185,0.07020823306161461,0.8961625351900812,0.44518736276714743
123,cdf,-7.19492435153938e-17,-0.001536619955560839,0.08412341784724818,0.5974684866893014,0.3235614160098723
124,cdf,-3.316666947108485e-16,-0.0004943286854522323,0.04712824327310383,0.8456717179667016,0.39155221361741877
127,cdf,-1.3792876187974873e-18,-0.001054205180635613,0.06753001644238589,0.9377524646530426,0.42050894367465463
